id,TARGET
EK202310003556,131.16666666666666
EK202310170625,165.33333333333334
EK202310167359,162.5
EK202310118370,138.76666666666668
EK202320006361,143.66666666666666
EK202310003542,131.5
EK202310125266,138.7
EK202310144740,133.5
EK202310137443,133.33333333333334
EK202310159067,136.3
EK202310245067,141.0
EK202310240556,137.9
EK202310166743,151.46666666666667
EK202310247454,128.16666666666666
EK202310215702,163.93333333333334
EK202310142190,168.16666666666666
EK202310205417,137.36666666666667
EK202310119601,137.06666666666666
EK202310190356,131.66666666666666
EK202310158758,149.36666666666667
EK202310145496,144.03333333333333
EK202310164763,146.13333333333333
EK202310200188,140.9
EK202310238803,167.6
EK202320005607,141.23333333333332
EK202310225681,143.06666666666666
EK202310127174,128.13333333333333
EK202310204317,161.83333333333334
EK202310179355,128.03333333333333
EK202310176524,156.26666666666668
EK202310237228,132.76666666666668
EK202310172549,173.06666666666666
EK202310168863,129.1
EK202310185904,162.6
EK202310133615,146.3
EK202310122063,144.2
EK202310121770,148.86666666666667
EK202310125590,135.16666666666666
EK202310172269,146.73333333333332
EK202310147894,141.36666666666667
EK202310137986,138.53333333333333
EK202310150838,143.6
EK202310104915,119.93333333333334
EK202310170090,133.0
EK202310165637,137.03333333333333
EK202310134467,130.76666666666668
EK202310182637,164.56666666666666
EK202310112116,154.43333333333334
EK202310241220,160.8
EK202310103801,139.76666666666668
EK202310177448,132.26666666666668
EK202310157860,174.13333333333333
EK202310211985,141.63333333333333
EK202310232907,132.73333333333332
EK202310162917,145.7
EK202310211786,128.86666666666667
EK202310132171,135.73333333333332
EK202310153694,131.96666666666667
EK202310174960,168.66666666666666
EK202310121096,138.6
EK202310222475,127.53333333333333
EK202310146254,144.6
EK202310111466,132.6
EK202310004385,180.76666666666668
EK202310108961,134.16666666666666
EK202310203170,142.83333333333334
EK202310161424,180.7
EK202310206583,154.93333333333334
EK202310138840,143.3
EK202310221976,146.4
EK202310143972,149.43333333333334
EK202310175420,142.4
EK202310227655,139.33333333333334
EK202310163389,145.76666666666668
EK202310239480,140.03333333333333
EK202310146467,136.76666666666668
EK202310162597,131.4
EK202310194862,140.4
EK202310152448,155.23333333333332
EK202310245431,151.1
EK202310206822,180.4
EK202310166559,174.26666666666668
EK202310221701,147.06666666666666
EK202310231403,136.8
EK202310156027,129.6
EK202310135956,134.46666666666667
EK202310183176,125.76666666666667
EK202310206055,183.1
EK202310167360,145.26666666666668
EK202310142701,139.6
EK202310156629,162.0
EK202310241352,156.4
EK202310123587,140.6
EK202310003639,150.3
EK202310158269,139.26666666666668
EK202320007090,160.56666666666666
EK202310111707,139.03333333333333
EK202310104096,144.7
EK202310235404,129.7
EK202310108783,136.0
EK202310116298,133.06666666666666
EK202310156281,143.76666666666668
EK202310164483,134.33333333333334
EK202310108212,128.46666666666667
EK202310233950,135.43333333333334
EK202310157041,146.46666666666667
EK202310104522,133.6
EK202310175972,153.83333333333334
EK202310225965,152.46666666666667
EK202310138403,141.93333333333334
EK202310234452,128.16666666666666
EK202310104614,160.13333333333333
EK202310117970,130.16666666666666
EK202310128727,125.73333333333333
EK202310190230,140.06666666666666
EK202310201465,150.96666666666667
EK202310197534,178.3
EK202310171846,128.63333333333333
EK202310193751,149.9
EK202310242967,144.33333333333334
EK202310112852,168.23333333333332
EK202310132804,143.63333333333333
EK202310127612,135.33333333333334
EK202310136082,174.66666666666666
EK202310186665,156.06666666666666
EK202310156519,129.46666666666667
EK202310108430,145.73333333333332
EK202310164930,145.3
EK202310153971,156.93333333333334
EK202310129412,133.63333333333333
EK202310124383,134.96666666666667
EK202310215858,147.23333333333332
EK202310104131,147.3
EK202310185040,149.43333333333334
EK202310119251,145.4
EK202310191724,147.53333333333333
EK202310149922,137.86666666666667
EK202310176193,132.03333333333333
EK202310204311,157.93333333333334
EK202310248324,147.5
EK202310120496,136.56666666666666
EK202310233548,135.43333333333334
EK202310219178,137.66666666666666
EK202310114723,140.86666666666667
EK202310185832,175.7
EK202310106587,155.33333333333334
EK202310239252,133.7
EK202310208710,132.3
EK202310244056,130.26666666666668
EK202310223702,136.96666666666667
EK202310236969,136.83333333333334
EK202310196070,141.3
EK202310227710,135.76666666666668
EK202310119702,143.6
EK202310143351,145.06666666666666
EK202310144967,140.23333333333332
EK202310207097,140.5
EK202310193281,130.9
EK202310223068,134.56666666666666
EK202310158743,117.46666666666667
EK202310142353,142.1
EK202310154024,164.96666666666667
EK202310136326,138.9
EK202320006526,154.43333333333334
EK202310240160,153.73333333333332
EK202310230270,136.66666666666666
EK202310209591,133.3
EK202310201937,143.33333333333334
EK202310138686,145.23333333333332
EK202310125946,142.63333333333333
EK202310112949,136.63333333333333
EK202310128660,142.26666666666668
EK202310223565,149.83333333333334
EK202310155372,154.16666666666666
EK202310229467,144.8
EK202310232289,142.13333333333333
EK202310142439,153.63333333333333
EK202310128595,142.1
EK202310228661,122.73333333333333
EK202310220811,133.66666666666666
EK202310104677,142.8
EK202310108708,160.76666666666668
EK202310235044,136.4
EK202310141363,145.63333333333333
EK202310174855,143.56666666666666
EK202310154755,151.6
EK202310157326,129.6
EK202310228659,139.76666666666668
EK202310215026,155.46666666666667
EK202310177129,141.4
EK202310178830,168.4
EK202310222959,127.6
EK202320007347,155.7
EK202310153807,159.1
EK202310165563,146.63333333333333
EK202310240070,112.5
EK202310171642,134.0
EK202310221419,137.3
